,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,label assortativity,feature assortativity,cluster coefficient,average shortest path,average degree
348,SAGE,0.90.90.0142,0.7574893009985735,0.3015075376884422,0.7574893009985735,0.3015075376884422,0.9,0.9,0.01,4,2
349,SAGE,0.90.90.0145,0.9629101283880172,0.4120603015075377,0.9629101283880172,0.4120603015075377,0.9,0.9,0.01,4,5
350,SAGE,0.90.90.0172,0.7731811697574893,0.1809045226130653,0.7731811697574893,0.1809045226130653,0.9,0.9,0.01,7,2
351,SAGE,0.90.90.225,0.9015691868758916,0.5175879396984925,0.9015691868758916,0.5175879396984925,0.9,0.9,0.2,2,5
352,SAGE,0.90.90.2220,1.0,0.964824120603015,1.0,0.964824120603015,0.9,0.9,0.2,2,20
353,SAGE,0.90.90.2240,1.0,1.0,1.0,1.0,0.9,0.9,0.2,2,40
354,SAGE,0.90.90.232,0.666191155492154,0.6733668341708543,0.666191155492154,0.6733668341708543,0.9,0.9,0.2,3,2
355,SAGE,0.90.90.235,0.6077032810271041,0.4522613065326633,0.6077032810271041,0.4522613065326633,0.9,0.9,0.2,3,5
356,SAGE,0.90.90.2320,0.6119828815977175,0.3768844221105528,0.6119828815977175,0.3768844221105528,0.9,0.9,0.2,3,20
357,SAGE,0.90.90.242,0.9358059914407988,0.9195979899497488,0.9358059914407988,0.9195979899497488,0.9,0.9,0.2,4,2
358,SAGE,0.90.90.245,0.7988587731811697,0.7889447236180904,0.7988587731811697,0.7889447236180904,0.9,0.9,0.2,4,5
359,SAGE,0.90.90.272,0.8002853067047075,0.8040201005025126,0.8002853067047075,0.8040201005025126,0.9,0.9,0.2,7,2
360,SAGE,0.90.90.525,0.7902995720399429,0.7939698492462312,0.7902995720399429,0.7939698492462312,0.9,0.9,0.5,2,5
361,SAGE,0.90.90.5220,0.7960057061340942,0.7989949748743719,0.7960057061340942,0.7989949748743719,0.9,0.9,0.5,2,20
362,SAGE,0.90.90.5240,1.0,1.0,1.0,1.0,0.9,0.9,0.5,2,40
363,SAGE,0.90.90.535,0.6162624821683309,0.3517587939698492,0.6162624821683309,0.3517587939698492,0.9,0.9,0.5,3,5
364,SAGE,0.90.90.5320,1.0,0.2412060301507537,1.0,0.2412060301507537,0.9,0.9,0.5,3,20
365,SAGE,0.90.90.545,0.8630527817403709,0.2562814070351759,0.8630527817403709,0.2562814070351759,0.9,0.9,0.5,4,5
366,GAT,0.10.10.225,0.6162624821683309,0.1055276381909547,0.6162624821683309,0.1055276381909547,0.1,0.1,0.2,2,5
367,GAT,0.10.10.2220,0.8858773181169758,0.1507537688442211,0.8858773181169758,0.1507537688442211,0.1,0.1,0.2,2,20
368,GAT,0.10.10.2240,0.7646219686162625,0.1557788944723618,0.7646219686162625,0.1557788944723618,0.1,0.1,0.2,2,40
369,GAT,0.10.10.232,0.92867332382311,0.1407035175879397,0.92867332382311,0.1407035175879397,0.1,0.1,0.2,3,2
370,GAT,0.10.10.235,0.6747503566333809,0.1306532663316583,0.6747503566333809,0.1306532663316583,0.1,0.1,0.2,3,5
371,GAT,0.10.10.2320,0.5820256776034237,0.1407035175879397,0.5820256776034237,0.1407035175879397,0.1,0.1,0.2,3,20
372,GAT,0.10.10.242,0.8131241084165478,0.0904522613065326,0.8131241084165478,0.0904522613065326,0.1,0.1,0.2,4,2
373,GAT,0.10.10.245,0.8587731811697575,0.1256281407035175,0.8587731811697575,0.1256281407035175,0.1,0.1,0.2,4,5
374,GAT,0.10.10.525,0.8716119828815977,0.1256281407035175,0.8716119828815977,0.1256281407035175,0.1,0.1,0.5,2,5
375,GAT,0.10.10.5220,0.68188302425107,0.2412060301507537,0.68188302425107,0.2412060301507537,0.1,0.1,0.5,2,20
376,GAT,0.10.10.5240,0.666191155492154,0.1909547738693467,0.666191155492154,0.1909547738693467,0.1,0.1,0.5,2,40
377,GAT,0.10.10.535,0.8758915834522111,0.1256281407035175,0.8758915834522111,0.1256281407035175,0.1,0.1,0.5,3,5
378,GAT,0.10.10.5320,0.6562054208273894,0.1608040201005025,0.6562054208273894,0.1608040201005025,0.1,0.1,0.5,3,20
379,GAT,0.10.10.545,0.6875891583452212,0.100502512562814,0.6875891583452212,0.100502512562814,0.1,0.1,0.5,4,5
380,GAT,0.10.50.225,0.8231098430813124,0.0753768844221105,0.8231098430813124,0.0753768844221105,0.1,0.5,0.2,2,5
381,GAT,0.10.50.2220,0.4379457917261055,0.2110552763819095,0.4379457917261055,0.2110552763819095,0.1,0.5,0.2,2,20
382,GAT,0.10.50.2240,0.6490727532097005,0.0904522613065326,0.6490727532097005,0.0904522613065326,0.1,0.5,0.2,2,40
383,GAT,0.10.50.232,0.776034236804565,0.0854271356783919,0.776034236804565,0.0854271356783919,0.1,0.5,0.2,3,2
384,GAT,0.10.50.235,0.6019971469329529,0.1105527638190954,0.6019971469329529,0.1105527638190954,0.1,0.5,0.2,3,5
385,GAT,0.10.50.2320,0.8987161198288159,0.135678391959799,0.8987161198288159,0.135678391959799,0.1,0.5,0.2,3,20
386,GAT,0.10.50.242,0.7089871611982882,0.100502512562814,0.7089871611982882,0.100502512562814,0.1,0.5,0.2,4,2
387,GAT,0.10.50.245,0.8530670470756063,0.1557788944723618,0.8530670470756063,0.1557788944723618,0.1,0.5,0.2,4,5
388,GAT,0.10.50.525,0.5221112696148359,0.0753768844221105,0.5221112696148359,0.0753768844221105,0.1,0.5,0.5,2,5
389,GAT,0.10.50.5220,0.717546362339515,0.1608040201005025,0.717546362339515,0.1608040201005025,0.1,0.5,0.5,2,20
390,GAT,0.10.50.5240,0.7089871611982882,0.3316582914572864,0.7089871611982882,0.3316582914572864,0.1,0.5,0.5,2,40
391,GAT,0.10.50.535,0.7075606276747504,0.0954773869346733,0.7075606276747504,0.0954773869346733,0.1,0.5,0.5,3,5
392,GAT,0.10.50.5320,0.6191155492154066,0.0804020100502512,0.6191155492154066,0.0804020100502512,0.1,0.5,0.5,3,20
393,GAT,0.10.50.545,0.5221112696148359,0.0804020100502512,0.5221112696148359,0.0804020100502512,0.1,0.5,0.5,4,5
394,GAT,0.10.90.225,0.8687589158345221,0.1407035175879397,0.8687589158345221,0.1407035175879397,0.1,0.9,0.2,2,5
395,GAT,0.10.90.2220,0.7047075606276747,0.0653266331658291,0.7047075606276747,0.0653266331658291,0.1,0.9,0.2,2,20
396,GAT,0.10.90.2240,0.9429386590584878,0.135678391959799,0.9429386590584878,0.135678391959799,0.1,0.9,0.2,2,40
397,GAT,0.10.90.232,0.8730385164051355,0.1256281407035175,0.8730385164051355,0.1256281407035175,0.1,0.9,0.2,3,2
398,GAT,0.10.90.235,0.7218259629101283,0.1155778894472361,0.7218259629101283,0.1155778894472361,0.1,0.9,0.2,3,5
399,GAT,0.10.90.2320,0.202567760342368,0.0854271356783919,0.202567760342368,0.0854271356783919,0.1,0.9,0.2,3,20
400,GAT,0.10.90.242,0.3951497860199714,0.1155778894472361,0.3951497860199714,0.1155778894472361,0.1,0.9,0.2,4,2
401,GAT,0.10.90.245,0.8758915834522111,0.1206030150753768,0.8758915834522111,0.1206030150753768,0.1,0.9,0.2,4,5
402,GAT,0.10.90.2535,0.8730385164051355,0.1457286432160804,0.8730385164051355,0.1457286432160804,0.1,0.9,0.2,5,35
403,GAT,0.10.90.525,0.514978601997147,0.0552763819095477,0.514978601997147,0.0552763819095477,0.1,0.9,0.5,2,5
404,GAT,0.10.90.5220,0.5606276747503567,0.1155778894472361,0.5606276747503567,0.1155778894472361,0.1,0.9,0.5,2,20
405,GAT,0.10.90.5240,0.6690442225392297,0.2663316582914573,0.6690442225392297,0.2663316582914573,0.1,0.9,0.5,2,40
406,GAT,0.10.90.535,0.7004279600570613,0.1658291457286432,0.7004279600570613,0.1658291457286432,0.1,0.9,0.5,3,5
407,GAT,0.10.90.5320,0.7232524964336662,0.1155778894472361,0.7232524964336662,0.1155778894472361,0.1,0.9,0.5,3,20
408,GAT,0.10.90.545,0.7589158345221113,0.1457286432160804,0.7589158345221113,0.1457286432160804,0.1,0.9,0.5,4,5
409,GAT,0.50.10.0125,0.9243937232524964,0.271356783919598,0.9243937232524964,0.271356783919598,0.5,0.1,0.01,2,5
410,GAT,0.50.10.01220,0.7874465049928673,0.2763819095477386,0.7874465049928673,0.2763819095477386,0.5,0.1,0.01,2,20
411,GAT,0.50.10.01240,0.920114122681883,0.2964824120603015,0.920114122681883,0.2964824120603015,0.5,0.1,0.01,2,40
412,GAT,0.50.10.0132,0.9514978601997148,0.6130653266331658,0.9514978601997148,0.6130653266331658,0.5,0.1,0.01,3,2
413,GAT,0.50.10.0135,0.5763195435092725,0.4120603015075377,0.5763195435092725,0.4120603015075377,0.5,0.1,0.01,3,5
414,GAT,0.50.10.01320,0.8987161198288159,0.371859296482412,0.8987161198288159,0.371859296482412,0.5,0.1,0.01,3,20
415,GAT,0.50.10.0142,0.7475035663338089,0.2311557788944723,0.7475035663338089,0.2311557788944723,0.5,0.1,0.01,4,2
416,GAT,0.50.10.0145,0.854493580599144,0.236180904522613,0.854493580599144,0.236180904522613,0.5,0.1,0.01,4,5
417,GAT,0.50.10.0172,0.985734664764622,0.5326633165829145,0.985734664764622,0.5326633165829145,0.5,0.1,0.01,7,2
418,GAT,0.50.10.225,0.9743223965763196,0.5979899497487438,0.9743223965763196,0.5979899497487438,0.5,0.1,0.2,2,5
419,GAT,0.50.10.2220,0.8259629101283881,0.7286432160804021,0.8259629101283881,0.7286432160804021,0.5,0.1,0.2,2,20
420,GAT,0.50.10.2240,0.8402282453637661,0.2110552763819095,0.8402282453637661,0.2110552763819095,0.5,0.1,0.2,2,40
421,GAT,0.50.10.232,0.6633380884450785,0.5226130653266332,0.6633380884450785,0.5226130653266332,0.5,0.1,0.2,3,2
422,GAT,0.50.10.235,0.9985734664764622,0.2311557788944723,0.9985734664764622,0.2311557788944723,0.5,0.1,0.2,3,5
